Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
none,Kazuo Gondayama,よりぬき権田山不況,100yenLAbel,"CDr, Comp",,2002,7720768,,2018-01-07 19:12:46
20C-3,MSBR,Ultimate Ambience 2,20city,CD,,2000,294307,,2019-05-31 15:23:41
5F-063,Vomit Orchestra,The Aura Of Saints,5nakefork Records,"Cass, EP, Ltd, Num",,2013,5337113,,2018-07-21 16:17:31
AECD-002,REDALiCE,Phaser Control,Alice's Emotion,"CDr, Album",,2006,962463,,2013-05-30 19:43:36
ALPHA CD 9,Sound Assassins,Hyperspeed,Alphamagic,"CD, Album, Mixed",,2000,1992452,,2018-12-16 19:59:03
ARCD0022,Various,Dancefloor Combat,Alstroemeria Records,"CD, Comp, P/Mixed",,2007,1211319,,2013-04-11 00:49:20
AM141,Government Alpha,Death Techno 2000,American Tapes,"CDr, Album, Ltd",,2000,1793064,,2013-03-21 17:24:23
none,Vomit Orchestra,Dante,Autumn Wind Productions,"Cass, S/Sided, Ltd, Num",,2006,4839175,,2014-09-07 13:44:45
B247CDJ003,Kenny Ken,Kings Of The Jungle Volume Three,Beats 24-7,"CD, Comp, Mixed",,2004,1357566,,2018-12-05 14:04:35
B247SCDJ001,Ellis Dee,Kings Of The Jungle - Volume One -,Beats 24-7,"CD, Mixed",,2004,409067,,2018-12-05 14:04:39
B247SCDJ002,Nicky Blackmarket,Kings Of The Jungle Volume Two,Beats 24-7,"CD, Comp, Mixed",,2004,742312,,2018-12-05 14:04:37
WMDA013,MSBR,The Final Harsh Work #18,Blade Records,"CDr, Album, Ltd, Num",,2001,541870,,2019-05-31 15:23:19
BHCD01,Blasterhead,Killbots E.P.,Blasterhead,"CD, EP",,2003,1077220,,2019-04-01 20:34:23
BHCD04,Blasterhead,Killbots-E.P. (E),Blasterhead,"CD, EP, RE",,2005,1130541,,2019-04-01 20:34:27
BHCD05,Blasterhead,Rave-O-Lution DMG - E.P.,Blasterhead,"CD, EP",,2005,891055,,2019-04-01 20:34:31
BHCD07,Blasterhead,Plasmadash Remixes,Blasterhead,"CD, Maxi",,2006,761937,,2019-04-01 20:34:34
BHCD08,Blasterhead,Blasterhead Complete Best,Blasterhead,"CD, Album",,2006,891032,,2019-04-01 20:34:44
BHCD09,Blasterhead Feat. Rita (5),Into The Sky,Blasterhead,"CD, Album",,2007,1077230,,2019-04-01 20:34:47
BHCD12,Various,Blasterhead v.s. Hardcore Tano*C+,Blasterhead,"CD, Maxi",,2009,1899418,,2019-04-01 20:34:51
BHCD13,Blasterhead Feat. 桃井はるこ,Moecom Lynx 2010-E.P.+,Blasterhead,"CD, EP",,2010,2632815,,2019-04-01 20:34:58
BHCD14,Blasterhead,Command 770,Blasterhead,"CD, EP",,2012,3909249,,2019-04-01 20:35:01
BHDVD01,Blasterhead,Live At Stockholm 07 August 2004 In Microdisko,Blasterhead,"DVD-V, NTSC, Reg",,2004,1391350,,2019-04-01 20:35:03
BHEP01,Blasterhead,Plasmadash-E.P.,Blasterhead,"12"", EP, Ltd",,2006,1512960,,2019-04-01 20:35:07
BHEP04,Blasterhead Feat. 桃井はるこ,Moecom Lynx 2010-E.P.,Blasterhead,"12"", EP, Ltd",,2010,2438828,,2019-04-01 20:35:09
BHEP05,Blasterhead Feat. Saori Sakura,Distance.Zero-E.P.,Blasterhead,"12"", EP, Ltd",,2011,3321038,,2019-04-01 20:35:12
VABHCD01,Blasterhead,Retake,Blasterhead,"CD, Album",,2009,2068989,,2019-04-01 20:35:14
none,kenta-v.ez.,b.e.,Boostized Euphoria,"CDr, Album, Ltd",,2007,1699450,,2012-07-30 15:19:07
BCCOMP-021,Various,Underground Makina Connectionz Vol. 21,Burning Chrome Records,"CD, Comp",,2017,10456598,,2017-08-26 14:12:57
none,Technetium (2),第１次スーパーRPG 大戦 SX (体験版),Cis-Trance,"CDr, MiniAlbum",,2004,1836367,,2012-07-04 22:19:45
none,Technetium (2),ニコニコりみっくす,Cis-Trance,"CDr, MiniAlbum",,2007,2136207,,2013-01-06 14:11:54
COQ-DMT/CD001,Masonna,Tripsy Sunshine,Coquette,"CDr, Ltd, Num",,1998,693619,,2013-04-10 12:21:58
COQ-PPP,Masonna,All Live Recording At My Room,Coquette,Cass,,1989,693644,,2013-04-10 12:20:58
none,Marumari,Story Of The Heavens,Cunsanto,CD,,1999,89466,,2013-05-04 23:48:26
DA074,Darkness Enshroud,Antitrinity,Dark Adversary Productions,"CD, Album, Ltd",,2017,10807226,,2017-10-26 13:44:56
DEATH-961,Valefor,Death Magick,Death Factory,"CD, Album",,1996,137772,,2018-07-09 13:36:43
DP005,Vrolok,Portae Antiquuae Ad Nihil Promo 2003,Demonic Possession Records,"CDr, Comp, Promo",,2003,7417588,,2017-12-18 16:09:55
DZ-CDR010,MSBR,Structured Suicide +,Denshi Zatsuon,CDr,,2003,468256,,2019-05-31 15:23:28
dz-cdr022,MSBR,Mental Dissolution,Denshi Zatsuon,"CDr, RE, RM",,2004,593921,,2019-05-31 15:23:24
DDC-001,die!!die!!color!!!,Start To ↑,die!!die!!color!!!,"CDr, EP",,2008,1967774,,2017-02-23 19:07:07
DDC-002,die!!die!!color!!!,Midi Communication Sound Interface,die!!die!!color!!!,"CDr, EP",,2008,1967784,,2017-02-23 19:07:11
DFLP0002,Masayoshi Minoshima,Nostalgia,Down Force Records,"CDr, Album",,2002,1065746,,2012-07-04 22:53:12
DFLP0003,Masayoshi Minoshima,Works And Pleasure,Down Force Records,"CDr, Comp",,2004,1111508,,2012-07-04 22:53:20
MBCD01,Suama,JMBS Single Collection Vol.1,Dugem Rising North East Records,"CDr, Album",,2012,3607095,,2018-01-09 15:57:29
MBCD02,Suama,JMBS Single Collection Vol.2,Dugem Rising North East Records,"CDr, Album",,2012,4037163,,2018-01-09 15:57:42
MBCD04,Suama,JMBS Single Collection Vol.4,Dugem Rising North East Records,"CDr, Album",,2014,5653852,,2018-01-09 15:58:11
MBCD05,Suama,JMBS Single Collection Vol.5,Dugem Rising North East Records,"CDr, Album",,2014,6235553,,2018-01-09 15:57:57
MBEA-01,Suama,JMBS Extra Archive 2016,Dugem Rising North East Records,"CDr, Comp",,2016,9358700,,2018-01-09 16:00:29
0001,Fibreforms,Treedrums,Earth Tone,"CD, Album",,1996,1568464,,2013-05-02 13:45:19
EDDR0213,Omegahertz,Gamma Sirius,Elxis DiscoGraphic,"CD, Album",,2013,4550508,,2014-12-09 19:40:57
none,David Tagg,Extreme Scenic Route,Expanding Electronic Diversity,"CDr, EP, Ltd",,2005,902847,,2013-03-31 16:49:59
EXT-0018,Ex Boys,Plays,ExT Recordings,"CD, Mixed",,2012,3350726,,2018-01-07 19:13:20
F.R.D-CD010,Ryoma Maeda,Ennui New PiG,F.R.D Record,"CD, Album",,2000,1860496,,2017-12-18 16:22:40
FBRCD339,Various,The Best Of United Dance,Fourbeat Records,"2xCD, Comp, Mixed",,1998,192909,,2018-04-23 12:05:23
